Bug-ID,AOR-Revealing,AOR-Non-Revealing,AOR-No-Coverage,LOR-Revealing,LOR-Non-Revealing,LOR-No-Coverage,COR-Revealing,COR-Non-Revealing,COR-No-Coverage,ROR-Revealing,ROR-Non-Revealing,ROR-No-Coverage,SOR-Revealing,SOR-Non-Revealing,SOR-No-Coverage,ORU-Revealing,ORU-Non-Revealing,ORU-No-Coverage,EVR-Revealing,EVR-Non-Revealing,EVR-No-Coverage,LVR-Revealing,LVR-Non-Revealing,LVR-No-Coverage,STD-Revealing,STD-Non-Revealing,STD-No-Coverage
Chart-11f,0,62,146,0,0,0,5,51,10,1,52,14,0,0,0,0,1,28,0,0,0,4,28,30,3,13,41
Chart-12f,0,12,40,0,0,0,0,10,10,0,28,29,0,0,0,0,0,0,0,0,0,1,19,23,2,39,28
Chart-16f,0,12,0,0,0,0,0,42,8,1,125,8,0,0,0,0,0,0,0,0,0,1,86,0,2,20,5
Chart-17f,4,66,54,0,0,0,0,24,8,0,104,26,0,0,0,0,8,0,0,0,0,0,107,37,0,56,33
Chart-18f,0,8,16,0,0,0,1,26,3,2,75,30,0,0,0,0,2,0,0,0,0,2,69,11,1,67,8
Chart-1f,0,3,45,0,0,2,1,45,42,2,57,20,0,0,0,0,0,0,0,0,0,1,33,27,1,68,97
Chart-20f,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0
Chart-21f,0,0,0,0,0,0,3,21,4,5,38,11,0,0,0,0,0,0,0,0,0,0,12,14,2,38,18
Chart-22f,0,0,16,0,0,0,1,12,1,6,41,18,0,0,0,0,0,0,0,0,0,3,38,8,1,25,5
Chart-23f,0,5,15,0,0,0,2,5,7,2,14,20,0,0,0,0,0,8,0,0,0,4,30,60,2,11,40
Chart-24f,0,16,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0
Chart-25f,0,0,208,0,0,0,0,8,12,4,21,56,0,0,0,0,0,0,0,0,0,0,14,53,0,13,51
Chart-26f,0,38,162,0,0,0,0,44,10,1,56,10,0,0,0,0,0,0,0,0,0,1,57,37,2,74,40
Chart-2f,0,79,9,0,0,0,2,124,24,0,274,102,0,0,0,0,0,0,0,0,0,1,204,35,7,97,14
Chart-5f,0,35,29,0,0,0,0,24,6,0,55,15,0,0,0,0,4,0,0,0,0,0,58,28,0,34,15
Chart-6f,0,0,0,0,0,0,0,2,0,3,3,8,0,0,0,0,0,0,0,0,0,5,6,3,4,2,2
Chart-8f,0,44,24,0,0,0,0,14,6,1,39,39,0,0,0,0,0,0,0,0,0,0,59,30,0,23,25
Cli-12f,3,1,0,0,0,0,1,15,0,1,7,1,0,0,0,0,0,0,0,0,0,3,18,1,0,13,0
Cli-14f,0,8,0,0,0,0,0,74,4,0,23,1,0,0,0,0,0,0,0,0,0,0,24,0,0,37,2
Cli-15f,0,0,0,0,0,0,0,18,2,3,14,5,0,0,0,0,0,0,0,0,0,0,3,1,1,23,3
Cli-18f,0,12,0,0,0,0,1,27,4,0,10,3,0,0,0,0,0,0,0,0,0,1,16,0,2,26,3
Cli-19f,0,12,0,0,0,0,0,28,4,0,9,4,0,0,0,0,0,0,0,0,0,0,17,0,0,28,2
Cli-21f,0,0,8,0,0,0,0,95,19,0,38,9,0,0,0,0,0,0,0,0,0,0,18,7,0,53,22
Cli-22f,0,12,0,0,0,0,2,31,3,0,12,4,0,0,0,0,0,0,0,0,0,1,19,0,2,23,0
Cli-23f,0,41,3,0,0,0,1,61,16,1,50,37,0,0,0,0,0,0,0,0,0,0,48,11,0,63,8
Cli-24f,5,40,3,0,0,0,4,62,12,5,51,35,0,0,0,0,0,0,0,0,0,2,48,11,2,64,6
Cli-25f,0,43,1,0,0,0,0,67,11,0,56,35,0,0,0,0,0,0,0,0,0,0,51,10,0,66,6
Cli-26f,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,3,2,29,5
Cli-29f,0,8,0,0,0,0,4,10,2,2,3,2,0,0,0,0,0,0,0,0,0,2,14,0,0,1,0
Cli-2f,0,12,0,0,0,0,0,27,5,0,10,3,0,0,0,0,0,0,0,0,0,0,16,1,0,28,3
Cli-31f,0,47,13,0,0,0,0,118,20,0,108,46,0,0,0,0,0,0,0,0,0,0,89,27,0,133,9
Cli-32f,0,41,3,0,0,0,0,64,12,1,53,33,0,0,0,0,0,0,0,0,0,0,49,10,0,71,3
Cli-33f,0,41,3,0,0,0,0,65,13,0,52,35,0,0,0,0,0,0,0,0,0,0,49,12,0,74,3
Cli-34f,0,5,11,0,0,0,0,45,7,0,37,15,0,0,0,0,0,0,0,0,0,0,38,15,0,62,5
Cli-36f,0,0,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,3
Cli-37f,0,20,0,0,0,0,0,112,20,0,47,22,0,0,0,0,0,0,0,0,0,0,71,14,0,57,10
Cli-39f,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cli-3f,0,0,0,0,0,0,0,0,0,2,9,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7
Cli-40f,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cli-5f,0,4,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0
Cli-8f,0,33,7,0,0,0,0,41,33,1,45,36,0,0,0,0,0,0,0,0,0,1,42,14,1,54,13
Closure-104f,0,0,0,0,0,0,2,32,16,0,8,3,0,0,0,0,0,0,0,0,0,0,21,2,0,13,16
Closure-106f,0,4,20,0,0,0,0,195,139,0,65,80,0,0,0,0,0,0,0,0,0,0,146,63,0,87,84
Closure-109f,0,12,24,0,0,0,5,76,341,2,52,156,0,0,0,0,0,0,0,0,0,0,12,87,3,43,343
Closure-128f,0,2,42,0,8,0,0,54,196,0,84,168,0,4,2,0,0,0,0,0,0,0,75,153,0,97,195
