Bug-ID,Increments-Revealing,Increments-Non-Revealing,Increments-No-Coverage,InvertNegs-Revealing,InvertNegs-Non-Revealing,InvertNegs-No-Coverage,ReturnVals-Revealing,ReturnVals-Non-Revealing,ReturnVals-No-Coverage,VoidMethodCall-Revealing,VoidMethodCall-Non-Revealing,VoidMethodCall-No-Coverage,PrimitiveReturns-Revealing,PrimitiveReturns-Non-Revealing,PrimitiveReturns-No-Coverage,ConstructorCall-Revealing,ConstructorCall-Non-Revealing,ConstructorCall-No-Coverage,NonVoidMethodCall-Revealing,NonVoidMethodCall-Non-Revealing,NonVoidMethodCall-No-Coverage,RemoveConditional-Revealing,RemoveConditional-Non-Revealing,RemoveConditional-No-Coverage,ABS-Revealing,ABS-Non-Revealing,ABS-No-Coverage,AOR-Revealing,AOR-Non-Revealing,AOR-No-Coverage,AOD-Revealing,AOD-Non-Revealing,AOD-No-Coverage,CRCR-Revealing,CRCR-Non-Revealing,CRCR-No-Coverage,OBBN-Revealing,OBBN-Non-Revealing,OBBN-No-Coverage,ROR-Revealing,ROR-Non-Revealing,ROR-No-Coverage,UOI-Revealing,UOI-Non-Revealing,UOI-No-Coverage,BooleanTrueReturnVals-Revealing,BooleanTrueReturnVals-Non-Revealing,BooleanTrueReturnVals-No-Coverage,BooleanFalseReturnVals-Revealing,BooleanFalseReturnVals-Non-Revealing,BooleanFalseReturnVals-No-Coverage,ArgumentPropagation-Revealing,ArgumentPropagation-Non-Revealing,ArgumentPropagation-No-Coverage,NullReturnVals-Revealing,NullReturnVals-Non-Revealing,NullReturnVals-No-Coverage,NakedReceiver-Revealing,NakedReceiver-Non-Revealing,NakedReceiver-No-Coverage,MemberVariable-Revealing,MemberVariable-Non-Revealing,MemberVariable-No-Coverage,EmptyObjectReturnVals-Revealing,EmptyObjectReturnVals-Non-Revealing,EmptyObjectReturnVals-No-Coverage,RemoveIncrements-Revealing,RemoveIncrements-Non-Revealing,RemoveIncrements-No-Coverage,Switch-Revealing,Switch-Non-Revealing,Switch-No-Coverage,RemoveSwitch-Revealing,RemoveSwitch-Non-Revealing,RemoveSwitch-No-Coverage,BigInteger-Revealing,BigInteger-Non-Revealing,BigInteger-No-Coverage
Chart-11f,0,0,0,0,6,23,3,47,0,2,16,36,0,0,0,0,10,0,1,69,13,5,95,16,0,51,104,0,93,115,0,36,68,20,152,90,0,0,0,7,154,53,1,242,377,4,26,2,0,11,0,0,8,3,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chart-12f,0,1,3,0,0,0,1,16,0,2,16,16,0,1,0,0,17,1,1,40,18,0,59,24,0,20,28,0,12,40,0,1,25,3,63,46,0,0,0,0,74,52,0,89,103,0,7,0,1,1,0,0,6,4,0,6,0,0,0,0,0,13,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
Chart-16f,0,3,0,0,0,0,0,36,0,0,1,4,0,8,0,1,32,0,0,58,2,1,125,1,0,72,2,0,12,0,0,6,0,2,131,8,0,0,0,0,236,16,1,229,66,0,9,0,0,3,0,1,2,3,0,11,1,0,8,2,3,8,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Chart-17f,0,4,0,0,4,0,0,34,2,0,19,15,0,4,1,0,31,0,0,111,30,0,111,26,0,68,29,2,68,54,0,27,35,0,234,145,0,0,0,0,234,51,0,250,138,0,7,1,0,2,0,0,3,0,0,14,0,0,4,12,0,13,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
Chart-18f,0,8,0,0,1,0,0,34,5,1,29,1,0,8,1,4,33,0,6,113,12,4,104,16,0,97,7,0,8,16,0,4,8,0,126,43,0,0,0,3,192,40,1,318,97,0,11,2,0,3,1,0,6,4,0,8,0,0,2,11,0,11,2,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0
Chart-1f,0,5,0,0,0,0,1,48,6,1,24,64,0,3,2,0,30,21,4,125,134,6,141,94,2,43,155,0,3,45,0,2,22,2,95,96,0,0,3,6,194,149,4,208,588,0,14,2,0,1,3,0,8,13,1,24,4,0,0,0,0,17,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chart-20f,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,7,0,0,8,0,0,0,0,0,0,0,0,23,4,0,0,0,0,14,2,0,22,10,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chart-21f,0,2,0,0,0,0,0,36,0,0,3,1,0,6,0,0,3,0,0,68,4,8,65,8,4,44,26,0,0,0,0,0,0,0,41,48,0,0,0,16,64,29,29,157,110,0,2,0,0,2,0,0,0,0,0,23,0,0,0,0,2,13,19,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
Chart-22f,0,5,0,0,0,0,1,18,3,0,5,2,0,4,1,2,17,0,5,69,10,4,58,11,3,42,7,0,0,16,0,0,8,0,56,32,0,0,0,6,109,26,3,139,66,0,5,2,0,2,0,0,0,2,0,5,0,0,1,12,0,6,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0
Chart-23f,0,0,0,0,0,0,3,10,1,0,6,20,0,0,0,0,21,6,0,18,28,3,27,17,0,16,52,0,5,15,0,2,8,12,61,211,0,0,0,3,37,28,0,77,195,3,3,0,0,2,1,0,0,4,0,7,0,0,0,0,2,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
