Bug-ID,MAJOR fault-revealed,MAJOR # revealing mutants,MAJOR # mutants,PIT fault-revealed,PIT # revealing mutants,PIT # mutants,Total # revealing mutants
Chart-11f,True,13,489,True,43,1971,56
Chart-12f,True,3,241,True,8,816,11
Chart-16f,True,4,310,True,9,1111,13
Chart-17f,True,4,527,True,2,1789,6
Chart-18f,True,6,321,True,19,1408,25
Chart-1f,True,5,444,True,27,2424,32
Chart-20f,False,0,17,False,0,108,0
Chart-21f,True,10,166,True,59,838,69
Chart-22f,True,11,175,True,24,769,35
Chart-23f,True,10,225,True,26,925,36
Chart-24f,True,1,40,False,0,224,1
Chart-25f,True,4,440,True,7,1759,11
Chart-26f,True,4,532,True,4,1615,8
Chart-2f,True,10,972,True,18,6314,28
Chart-5f,False,0,303,False,0,1129,0
Chart-6f,True,12,38,True,49,199,61
Chart-8f,True,1,304,True,1,1271,2
Cli-12f,True,8,64,True,26,237,34
Cli-14f,False,0,173,False,0,894,0
Cli-15f,True,4,73,True,21,335,25
Cli-18f,True,4,105,True,8,359,12
Cli-19f,False,0,104,False,0,358,0
Cli-21f,False,0,269,False,0,1310,0
Cli-22f,True,5,109,True,15,384,20
Cli-23f,True,2,340,True,7,1414,9
Cli-24f,True,18,350,True,51,1448,69
Cli-25f,False,0,346,True,26,1437,26
Cli-26f,True,2,53,True,2,171,4
Cli-29f,True,8,48,True,18,146,26
Cli-2f,False,0,105,False,0,378,0
Cli-31f,False,0,610,False,0,2342,0
Cli-32f,True,1,340,True,23,1370,24
Cli-33f,False,0,347,False,0,1414,0
Cli-34f,False,0,240,True,9,878,9
Cli-36f,False,0,65,False,0,310,0
Cli-37f,False,0,373,False,0,1173,0
Cli-39f,True,1,14,True,6,142,7
Cli-3f,True,3,23,True,33,155,36
Cli-40f,False,0,14,True,4,148,4
Cli-5f,False,0,25,True,3,88,3
Cli-8f,True,3,321,True,18,1355,21
Closure-104f,True,2,113,True,13,579,15
Closure-106f,False,0,883,False,0,1627,0
Closure-109f,True,10,1156,True,34,4364,44
Closure-128f,False,0,1148,False,0,4437,0
Closure-129f,False,0,78,False,0,133,0
Closure-12f,True,3,72,True,10,311,13
Closure-131f,True,1,463,True,1,1468,2
Closure-139f,True,11,235,False,0,50,11
Closure-140f,True,4,542,True,8,1714,12
Closure-141f,True,9,1068,True,63,5108,72
Closure-147f,True,4,249,True,13,455,17
Closure-148f,True,24,1070,True,33,3930,57
Closure-152f,False,0,388,False,0,1914,0
